cpu-0,cpu-1,cpu-2,cpu-3,cpu-4,cpu-5,cpu-6,cpu-7,gpu-0,mem
"[0, 4, 8, 13, 17, 22, 26, 30, 34, 39, 44, 48, 52, 57, 61, 67, 71, 75, 80, 84]","[0, 4, 8, 13, 17, 22, 26, 30, 34, 39, 44, 48, 52, 57, 61, 67, 71, 75, 80, 84]","[0, 4, 8, 13, 17, 22, 26, 30, 34, 39, 44, 48, 52, 57, 61, 67, 71, 75, 80, 84]","[0, 4, 8, 13, 17, 22, 26, 30, 34, 39, 44, 48, 52, 57, 61, 67, 71, 75, 80, 84]","[0, 4, 8, 13, 17, 22, 26, 30, 34, 39, 44, 48, 52, 57, 61, 67, 71, 75, 80, 84]","[0, 4, 8, 13, 17, 22, 26, 30, 34, 39, 44, 48, 52, 57, 61, 67, 71, 75, 80, 84]","[0, 4, 8, 13, 17, 22, 26, 30, 34, 39, 44, 48, 52, 57, 61, 67, 71, 75, 80, 84]","[0, 4, 8, 13, 17, 22, 26, 30, 34, 39, 44, 48, 52, 57, 61, 67, 71, 75, 80, 84]","[0, 4, 8, 13, 17, 22, 26, 30, 34, 39, 44, 48, 52, 57, 61, 67, 71, 75, 80, 84]","[0, 4, 8, 13, 17, 22, 26, 30, 34, 39, 44, 48, 52, 57, 61, 67, 71, 75, 80, 84]"
"[11.0, 14.7, 4.0, 6.9, 5.0, 14.0, 9.0, 9.9, 21.8, 9.0, 12.0, 49.0, 98.0, 96.0, 99.0, 98.0, 99.0, 100.0, 96.0, 99.0]","[15.2, 7.2, 3.0, 6.9, 7.1, 20.2, 6.1, 6.2, 22.0, 9.0, 11.1, 50.0, 100.0, 97.0, 99.0, 99.0, 100.0, 99.0, 99.0, 97.0]","[10.1, 10.9, 5.1, 4.0, 6.0, 20.0, 9.9, 6.1, 17.8, 11.9, 13.3, 44.0, 100.0, 98.0, 100.0, 99.0, 99.0, 100.0, 99.0, 100.0]","[8.0, 10.9, 3.1, 3.1, 1.0, 19.2, 8.0, 13.4, 12.2, 11.9, 21.0, 47.0, 99.0, 100.0, 100.0, 92.0, 100.0, 100.0, 98.0, 100.0]","[16.0, 4.1, 1.0, 2.0, 2.0, 11.0, 2.0, 6.1, 7.0, 2.1, 8.1, 36.1, 99.0, 99.0, 100.0, 98.0, 99.0, 99.0, 95.9, 98.0]","[4.0, 9.9, 1.0, 3.0, 2.0, 5.1, 3.0, 4.0, 10.0, 3.0, 12.2, 88.8, 99.0, 98.0, 98.0, 100.0, 99.0, 99.0, 100.0, 99.0]","[3.0, 20.8, 5.0, 3.0, 2.0, 11.5, 2.1, 11.0, 24.0, 6.0, 12.1, 45.5, 100.0, 98.0, 99.0, 100.0, 99.0, 98.0, 100.0, 100.0]","[0.0, 14.9, 3.0, 1.0, 2.0, 6.0, 0.0, 11.0, 9.9, 8.1, 10.0, 43.0, 100.0, 97.0, 99.0, 100.0, 100.0, 92.1, 97.0, 99.0]","[1252.875, 1254.125, 1254.75, 1253.625, 1253.625, 1254.75, 1254.5, 1254.125, 1260.4375, 1260.6875, 1273.6875, 2588.75, 2579.1875, 2580.9375, 2583.875, 2576.4375, 2576.8125, 2575.6875, 2575.625, 2574.4375]","[9286.46875, 9297.390625, 9315.765625, 9300.8515625, 9301.9375, 9339.58203125, 9342.0859375, 9327.56640625, 9330.34375, 9340.22265625, 9339.25, 9742.93359375, 9744.55859375, 9729.1953125, 9732.01171875, 9765.28515625, 9770.0625, 9755.8671875, 9749.3125, 9763.30859375]"
