cpu-0,cpu-1,cpu-2,cpu-3,cpu-4,cpu-5,cpu-6,cpu-7,gpu-0,mem
"[0, 4, 8, 13, 17, 23, 27, 31, 35, 40, 45, 50, 54, 58, 63, 68, 72, 76, 81, 85, 90, 95, 99, 103, 108]","[0, 4, 8, 13, 17, 23, 27, 31, 35, 40, 45, 50, 54, 58, 63, 68, 72, 76, 81, 85, 90, 95, 99, 103, 108]","[0, 4, 8, 13, 17, 23, 27, 31, 35, 40, 45, 50, 54, 58, 63, 68, 72, 76, 81, 85, 90, 95, 99, 103, 108]","[0, 4, 8, 13, 17, 23, 27, 31, 35, 40, 45, 50, 54, 58, 63, 68, 72, 76, 81, 85, 90, 95, 99, 103, 108]","[0, 4, 8, 13, 17, 23, 27, 31, 35, 40, 45, 50, 54, 58, 63, 68, 72, 76, 81, 85, 90, 95, 99, 103, 108]","[0, 4, 8, 13, 17, 23, 27, 31, 35, 40, 45, 50, 54, 58, 63, 68, 72, 76, 81, 85, 90, 95, 99, 103, 108]","[0, 4, 8, 13, 17, 23, 27, 31, 35, 40, 45, 50, 54, 58, 63, 68, 72, 76, 81, 85, 90, 95, 99, 103, 108]","[0, 4, 8, 13, 17, 23, 27, 31, 35, 40, 45, 50, 54, 58, 63, 68, 72, 76, 81, 85, 90, 95, 99, 103, 108]","[0, 4, 8, 13, 17, 23, 27, 31, 35, 40, 45, 50, 54, 58, 63, 68, 72, 76, 81, 85, 90, 95, 99, 103, 108]","[0, 4, 8, 13, 17, 23, 27, 31, 35, 40, 45, 50, 54, 58, 63, 68, 72, 76, 81, 85, 90, 95, 99, 103, 108]"
"[1.0, 4.9, 3.9, 8.2, 18.3, 31.3, 23.1, 26.2, 20.6, 2.0, 8.0, 9.9, 24.0, 7.8, 2.0, 8.6, 9.3, 1.0, 17.3, 5.9, 13.5, 41.5, 72.3, 24.0, 13.2]","[1.0, 4.0, 4.9, 5.9, 15.7, 2.0, 25.5, 22.2, 13.5, 6.1, 4.0, 11.9, 15.8, 6.9, 5.0, 4.0, 22.5, 4.0, 13.9, 3.1, 12.1, 12.7, 20.6, 21.6, 12.6]","[0.0, 1.0, 7.0, 1.0, 16.3, 2.9, 27.6, 22.5, 22.8, 3.1, 4.1, 8.1, 20.0, 5.9, 2.0, 3.0, 3.1, 2.0, 16.8, 10.5, 6.1, 19.6, 11.8, 19.4, 14.0]","[2.0, 1.0, 1.0, 4.0, 44.4, 11.8, 26.5, 26.3, 14.3, 6.2, 11.3, 5.3, 15.0, 8.0, 4.0, 7.9, 2.0, 1.0, 20.8, 3.0, 5.3, 13.9, 10.0, 20.6, 11.2]","[0.0, 2.0, 2.0, 7.0, 15.2, 0.0, 19.6, 22.4, 27.3, 4.2, 3.1, 5.3, 16.8, 8.0, 3.0, 2.0, 1.0, 3.9, 19.3, 10.6, 8.3, 10.3, 11.9, 62.6, 8.2]","[1.0, 10.9, 5.0, 1.0, 18.0, 5.1, 19.2, 26.7, 9.0, 6.0, 5.2, 4.2, 9.2, 5.0, 4.0, 7.6, 3.9, 4.9, 18.2, 10.5, 7.1, 11.9, 11.9, 18.0, 10.1]","[0.0, 5.9, 1.0, 5.9, 11.1, 3.0, 23.5, 20.8, 10.0, 0.0, 5.2, 11.2, 7.2, 7.1, 2.0, 7.9, 3.0, 1.0, 12.0, 4.0, 8.8, 14.7, 13.1, 18.6, 21.6]","[3.0, 0.0, 4.0, 3.0, 12.0, 1.0, 32.0, 18.1, 10.1, 2.0, 2.1, 10.2, 14.0, 6.9, 2.0, 4.0, 99.0, 1.0, 14.6, 11.0, 8.0, 10.0, 11.0, 20.6, 10.0]","[433.625, 433.625, 433.625, 433.625, 433.625, 429.5, 430.1875, 430.3125, 430.4375, 429.625, 429.625, 444.8125, 428.5625, 422.9375, 421.75, 420.75, 431.5, 431.3125, 430.875, 421.5625, 418.875, 429.75, 422.4375, 435.0625, 430.4375]","[2760.3203125, 2758.7109375, 2753.1875, 2752.9609375, 2764.85546875, 2785.71484375, 2795.75, 2825.41796875, 2835.484375, 2823.796875, 2835.02734375, 2826.94140625, 2842.5078125, 2844.140625, 2830.3359375, 2830.57421875, 2842.44921875, 2836.7734375, 2839.6328125, 2851.31640625, 2844.83984375, 2893.6328125, 2908.76171875, 2885.90234375, 2888.7265625]"
